Lookup_Id,Lookup_Group,Lookup_Name,Lookup_Code,Last_Update,Last_User,Checksum,ParentId
368,4,Brampton,0,NULL,NULL,997421136,NULL
369,4,Plymouth,0,NULL,NULL,34739425,NULL
370,4,Aberporth,0,NULL,NULL,1086907561,NULL
383,6,Beego's Sandwich Bar,0,NULL,NULL,-1498658063,NULL
406,6,Crest Property Management,0,NULL,NULL,631273563,NULL
408,6,Wigan Street Food,0,NULL,NULL,-766345516,NULL
409,6,McGee Group,0,NULL,NULL,236289737,NULL
388,6,Multiplex JD,0,NULL,NULL,-1784218895,NULL
390,6,Lucky Coffee Limited,0,NULL,NULL,1817559909,NULL
391,6,1st Potton Scouts Hall Group,0,NULL,NULL,-601216516,NULL
392,6,Amble Electrical,0,NULL,NULL,1833474911,NULL
393,6,Archer Academy,0,NULL,NULL,152233,NULL
394,6,WTW Scott cinemas - ALL,0,NULL,NULL,435119221,NULL
410,6,MPX Marble Arch sites,0,NULL,NULL,1240902464,NULL
415,6,Intec Printing Solutions,0,NULL,NULL,-1920174231,NULL
412,6,Morgana,0,NULL,NULL,1957925960,NULL
413,6,MPX 100 Bishopsgate only,0,NULL,NULL,-2077708278,NULL
414,6,Claritas,0,NULL,NULL,1829902859,NULL
417,6,SATCoL Warehouse,0,NULL,NULL,995913164,NULL
