Id,DataSetId,DataRecordId,ChargeTypeId,Cost,Checksum,Units,Rate
14396,259,44161,187,-2.8,-1583352179,933.5,-0.3
14397,827,44162,5,3.99,-1852640264,0,0
14398,827,44162,187,-6.01,-109873821,2003,-0.3
14399,827,44163,5,-3.99,-188028780,0,0
14400,827,44163,187,6.01,-1584712652,-2003,-0.3
14401,827,44164,5,3.99,1420999754,0,0
14402,827,44164,187,-1.69,1377739088,563,-0.3
14403,803,44165,4,21.15,-915964475,31,68.21918
14404,803,44165,5,14.02,-66513630,1,1402
14405,803,44165,87,25.48,-2063343457,1,2548
14406,803,44165,187,-2.03,1595026802,676.2,-0.3
14407,2933,44166,44,25.27,-2057243783,0,0
14408,2933,44166,187,-3.68,1438586863,1225,-0.3
14409,2933,44167,44,-25.27,-1045094099,0,0
14410,2933,44167,187,3.68,-183458335,-1225,-0.3
14411,2933,44168,44,25.27,-1708523375,0,0
14412,2933,44168,187,-3.07,-695069288,1023,-0.3
14413,48,44169,5,11.85,-1689456021,0,0
14414,48,44169,187,-7.89,-1545348451,2629,-0.3
14415,217,44170,5,-11.72,-2044783627,0,0
14416,217,44170,187,17.75,1798835634,-5917,-0.3
14417,217,44171,5,11.72,643096966,0,0
14418,217,44171,187,-13.9,-1008005021,4632,-0.3
14419,842,44172,4,21.15,-1544294920,31,68.21918
14420,842,44172,5,14.02,574939040,1,1402
14421,842,44172,87,25.48,-150474827,1,2548
14422,842,44172,184,8.48,1599173114,0,0
14423,842,44172,187,-9.08,847202175,3025.7,-0.3
14424,755,44173,5,14.02,1228381041,1,1402
14425,755,44173,87,25.48,513144081,1,2548
14426,755,44173,187,-3.18,-905237707,1060.7,-0.3
14427,228,44174,5,14.02,-300611761,1,1402
14428,228,44174,87,25.48,121593963,1,2548
14429,228,44174,187,-48.91,1348327905,16304.1,-0.3
14430,59,44175,5,11.85,1494249051,0,0
14431,59,44175,187,-20.96,1319921706,6986,-0.3
14432,53,44176,5,9.79,1793395230,0,0
14433,53,44176,187,-9.59,1295351361,3197,-0.3
14434,810,44177,44,17.67,-700925586,0,0
14435,810,44177,187,-6.57,-1789018639,2190,-0.3
14436,243,44178,44,25.27,908076803,0,0
14437,243,44178,187,-0.57,1608955254,190,-0.3
14438,2992,44179,5,14.02,852372227,1,1402
14439,2992,44179,87,25.48,-1615906220,1,2548
14440,116,44180,44,25.27,1998216655,0,0
14441,116,44180,187,-2.86,-544354448,952,-0.3
14442,73,44181,5,11.85,-73650039,0,0
14443,73,44181,187,-1.29,526996835,430,-0.3
14444,43,44182,5,-9.68,1797820250,0,0
14445,43,44182,187,630.96,-1227709133,-3740,-16.8705882352941
14446,43,44183,5,9.68,193543042,0,0
14447,43,44183,187,-628.66,731660808,2973,-21.1456441305079
14448,43,44184,4,9.4,-1067113916,0,0
14449,43,44184,5,3.22,1857850926,0,0
14450,43,44184,187,-7.2,-1189341209,2400,-0.3
14451,125,44185,5,11.85,-1131210393,0,0
14452,125,44185,187,-10.68,-1285231726,3560,-0.3
14453,125,44186,5,-11.85,-1007261918,0,0
14454,125,44186,187,10.68,-604282645,-3560,-0.3
14455,125,44187,5,11.85,1228886061,0,0
14456,125,44187,187,-5.33,1657923334,1778,-0.3
14457,47,44188,44,27.82,1325390,0,0
14458,47,44188,187,-2.27,382059530,757.5,-0.3
14459,844,44189,4,21.15,179416674,31,68.21918
14460,844,44189,5,14.02,824254779,1,1402
14461,844,44189,87,25.48,1068986394,1,2548
14462,844,44189,187,-3.84,1113110819,1279.6,-0.3
14463,1,44190,5,12.62,-1678671475,0,0
14464,1,44190,187,-3.32,-1236202263,1107,-0.3
14465,84,44191,4,21.15,-1076432869,31,68.21918
14466,84,44191,5,14.02,-233461140,1,1402
14467,84,44191,87,25.48,-1407739788,1,2548
14468,84,44191,187,-4,1709466464,1334,-0.3
14469,262,44192,44,27.82,-1548714120,0,0
14470,262,44192,187,-2.64,1913432648,879,-0.3
14471,208,44193,4,21.15,1579825919,31,68.21918
14472,208,44193,5,14.02,-1083474878,1,1402
14473,208,44193,87,25.48,-728755802,1,2548
14474,208,44193,187,-2.49,-1452658572,831.6,-0.3
14475,103,44194,44,17.67,-440031231,0,0
14476,103,44194,187,-1.33,371327366,444.6,-0.3
14477,128,44195,44,17.67,1866903978,0,0
14478,128,44195,187,-2,-1684527023,666,-0.3
14479,240,44196,44,25.27,-1175603708,0,0
14480,240,44196,187,-2.17,692248996,724,-0.3
14481,240,44197,44,-25.27,-1531778472,0,0
14482,240,44197,187,2.17,-1004520994,-724,-0.3
14483,240,44198,44,25.27,536220432,0,0
14484,240,44198,187,-1.08,-1080991635,361.3,-0.3
14485,234,44199,44,25.27,-1300293399,0,0
14486,234,44199,187,-0.23,247739844,75,-0.306666666666667
14487,234,44200,44,-25.27,5273259,0,0
14488,234,44200,187,0.23,452986438,-75,-0.306666666666667
14489,234,44201,44,25.27,1924690757,0,0
14490,234,44201,187,-0.13,635080357,42.8,-0.3
14491,2980,44202,5,3.99,-1318432470,0,0
14492,2980,44202,187,-12.47,859296934,636,-1.961
14493,258,44203,44,17.67,-439897305,0,0
14494,258,44203,187,-1.6,2051852461,533.7,-0.3
14495,374,44204,44,25.27,-2046349966,0,0
14496,374,44204,187,-2.24,-1527059557,746,-0.3
14497,536,44205,4,21.15,1843395339,31,68.21918
14498,536,44205,5,14.02,-1675367236,1,1402
14499,536,44205,87,25.48,-1365217895,1,2548
14500,536,44205,187,-1.89,2128076239,630.7,-0.3
14501,143,44206,44,17.67,-267813906,0,0
14502,143,44206,187,-1.3,-1772905390,434.9,-0.3
14503,261,44207,44,27.82,-1360850445,0,0
14504,261,44207,187,-3.73,1066967620,1244,-0.3
14505,229,44208,5,11.72,-673447380,0,0
14506,229,44208,187,-14.17,-1618861782,4722,-0.3
14507,236,44209,5,-11.85,990234232,0,0
14508,236,44209,187,8.12,-1665723240,-2705,-0.3
14509,236,44210,5,11.85,626094370,0,0
14510,236,44210,187,-6.29,-1335090223,2097,-0.3
14511,252,44211,4,21.15,1662472684,31,68.21918
14512,252,44211,5,14.02,-1328172906,1,1402
14513,252,44211,87,25.48,-1558802280,1,2548
14514,252,44211,187,-1.75,890163148,583,-0.3
14515,194,44212,5,11.85,153817211,0,0
14516,194,44212,187,-17.57,-1925484393,5856,-0.3
14517,147,44213,5,7.94,-968770432,0,0
14518,147,44213,187,-1867.92,46001213,6801,-27.465372739303
14519,147,44214,5,11.72,-2050389705,0,0
14520,147,44214,187,-4.54,1384987704,1512,-0.3
14521,197,44215,44,27.82,-1950889508,0,0
14522,197,44215,187,-1.64,-325638349,546.5,-0.3
14523,867,44216,4,21.15,-1332121900,31,68.21918
14524,867,44216,5,14.02,1489629070,1,1402
14525,867,44216,87,25.48,-623268680,1,2548
14526,867,44216,184,8.82,708266259,0,0
14527,867,44216,187,-81.39,372642378,27129.4,-0.3
14528,2993,44217,4,-21.15,2077263543,-31,68.21918
14529,2993,44217,5,-14.02,-1278236568,1,-1402
14530,2993,44217,87,-25.48,-455839472,1,-2548
14531,2993,44217,187,3.3,1056235410,-1501.5,-0.22
14532,2993,44218,4,21.15,987965806,31,68.21918
14533,2993,44218,5,14.02,-311872909,1,1402
14534,2993,44218,87,25.48,-1323822098,1,2548
14535,2993,44218,187,-3.28,2017548587,1490.4,-0.22
14536,2993,44219,4,21.15,-333667535,31,68.21918
14537,2993,44219,5,14.02,-1077990375,1,1402
14538,2993,44219,87,25.48,-273774291,1,2548
14539,2993,44219,187,-2.93,-1839519448,1333,-0.22
14540,823,44220,4,21.15,1864416385,31,68.21918
14541,823,44220,5,14.02,2147077669,1,1402
14542,823,44220,87,25.48,-529933990,1,2548
14543,823,44220,184,10.73,1267630485,0,0
14544,823,44220,187,-3.09,175835448,1029.1,-0.3
14545,3011,44221,4,21.15,1089316716,31,68.21918
14546,3011,44221,5,14.02,-927757556,1,1402
14547,3011,44221,87,25.48,-824082674,1,2548
14548,862,44222,4,21.15,1946656433,31,68.21918
14549,862,44222,5,14.02,-1294071526,1,1402
14550,862,44222,87,25.48,552787927,1,2548
14551,862,44222,187,-10.58,1069370517,3526.9,-0.3
14552,159,44223,4,12.62,-1333437812,0,0
14553,159,44223,187,-9.51,1895666300,3171,-0.3
14554,437,44224,44,17.67,953585070,0,0
14555,437,44224,187,-2.62,1353445950,873,-0.3
14556,174,44225,5,11.85,199932930,0,0
14557,174,44225,187,-6.5,779289291,2165,-0.3
14558,334,44226,5,11.85,256628979,0,0
14559,131,44227,44,25.27,-410563996,0,0
14560,131,44227,187,-1.36,-1288989732,453,-0.3
14561,81,44228,5,9.79,-1638912924,0,0
14562,81,44228,187,-19.81,-1474891483,6604,-0.3
14563,692,44229,4,3.99,-1873722493,0,0
14564,692,44229,187,-4.88,1143813272,1626.7,-0.3
14565,233,44230,44,25.27,-2020870464,0,0
14566,233,44230,187,-0.89,1899734864,297,-0.3
14567,233,44231,44,-25.27,1605468838,0,0
14568,233,44231,187,0.89,-1441195880,-297,-0.3
14569,233,44232,44,25.27,2025031641,0,0
14570,233,44232,187,-0.71,-423904172,237.2,-0.3
14571,190,44233,5,9.92,1991534971,0,0
14572,190,44233,187,-4.38,713516098,1459,-0.3
14573,129,44234,44,27.82,-1003767876,0,0
14574,129,44234,187,-1.29,-2085167504,428.5,-0.3
14575,36,44235,5,12.75,80723457,0,0
14576,36,44235,187,-12.47,-693023016,4156,-0.3
14577,342,44236,5,11.59,1343497775,0,0
14578,342,44236,187,-9.17,1294336448,3055,-0.300163666121113
14579,2975,44237,44,27.82,-1913495395,0,0
14580,2975,44237,187,-52.44,1902044637,2674,-1.961
14581,88,44238,44,27.82,1518095524,0,0
14582,88,44238,187,-5.93,1276306978,1975,-0.300253164556962
14583,88,44239,44,-27.82,-2139094500,0,0
14584,88,44239,187,5.93,-1989777934,-1975,-0.300253164556962
14585,88,44240,44,27.82,744026944,0,0
14586,88,44240,187,-4.24,-1575082844,1413.4,-0.3
14587,338,44241,5,9.79,1362743148,0,0
14588,338,44241,187,-10.98,-972042984,3660,-0.3
14589,799,44242,4,21.15,-639172488,31,68.21918
14590,799,44242,5,14.02,1849416082,1,1402
14591,799,44242,87,25.48,-216771954,1,2548
14592,799,44242,187,-4.6,-1874505524,1534.4,-0.3
14593,2976,44243,44,15.12,-619183962,0,0
14594,2976,44243,187,-21.04,-221881218,1073,-1.961
14595,118,44244,5,11.72,-1161887491,0,0
14596,118,44244,187,-18.13,-393029091,6042,-0.3
14597,2957,44245,4,21.15,874259893,31,68.21918
14598,2957,44245,5,14.02,-1979884530,1,1402
14599,2957,44245,78,12.49,-1074621513,6.81,183.477
14600,2957,44245,87,25.48,-1096048354,1,2548
14601,2957,44245,187,-7.05,462151014,2349.1,-0.3
14602,211,44246,4,21.15,-1811778897,31,68.21918
14603,211,44246,5,14.02,1469988359,1,1402
14604,211,44246,87,25.48,-1942877603,1,2548
14605,211,44246,184,10.05,1163495064,0,0
14606,211,44246,187,-1.59,-363308332,530,-0.3
14607,180,44247,4,11.2,-1605013992,0,0
14608,180,44247,5,0.64,1721202309,0,0
14609,180,44247,187,-10.63,-554046782,3543,-0.3
14610,91,44248,44,27.82,-1726415554,0,0
14611,91,44248,187,-2.58,-520620851,861,-0.3
14612,807,44249,4,21.15,675652812,31,68.21918
14613,807,44249,5,14.02,-2060498439,1,1402
14614,807,44249,87,25.48,-932384704,1,2548
14615,807,44249,187,-10.42,89142478,3472.1,-0.3
14616,3009,44250,44,15.12,1420098401,0,0
14617,2959,44251,4,21.15,906439883,31,68.21918
14618,2959,44251,5,14.02,-1572822791,1,1402
14619,2959,44251,87,25.48,194443589,1,2548
14620,2959,44251,187,-6.33,-1303056714,2109.9,-0.3
14621,34,44252,5,8.9,1588529545,0,0
14622,34,44252,187,-846.36,2013324495,4039,-20.954691755385
14623,34,44253,5,11.85,-162816527,0,0
14624,34,44253,187,-11.47,-293567668,3823,-0.3
14625,74,44254,5,11.85,-1057806094,0,0
14626,74,44254,187,-6.29,-746359890,2095,-0.300238663484487
14627,100,44255,44,27.82,666967731,0,0
14628,100,44255,187,-2.48,-523849243,827,-0.3
14629,100,44256,44,-27.82,-1125248548,0,0
14630,100,44256,187,2.48,108545481,-827,-0.3
14631,100,44257,44,27.82,-1735885814,0,0
14632,100,44257,187,-1.5,-498485747,500.5,-0.3
14633,157,44259,4,9.79,2090206112,0,0
14634,383,44260,4,21.15,1502745329,31,68.21918
14635,383,44260,5,14.02,780932287,1,1402
14636,383,44260,87,25.48,230805877,1,2548
14637,383,44260,184,11.07,-913649948,0,0
14638,383,44260,187,-4.88,1684238685,1625.7,-0.3
14639,239,44261,44,27.82,1962651841,0,0
14640,239,44261,187,-2.94,125896066,980,-0.3
14641,239,44262,44,-27.82,992642320,0,0
14642,239,44262,187,2.94,-1784428785,-980,-0.3
14643,239,44263,44,27.82,-477074658,0,0
14644,239,44263,187,-2.01,-1672482815,668.5,-0.3
14645,242,44264,44,25.27,1355696736,0,0
14646,242,44264,187,-0.23,-1068221688,77,-0.3
14647,49,44265,44,25.27,1398316516,0,0
14648,49,44265,187,-2.06,-1261108219,687,-0.3
14649,49,44266,44,-25.27,-879789914,0,0
14650,49,44266,187,2.06,-772514727,-687,-0.3
14651,49,44267,44,25.27,571222221,0,0
14652,49,44267,187,-1.54,-1630754169,511.9,-0.3
14653,2997,44268,44,3.5,-145433232,0,0
14654,2911,44270,187,-485.53,251864352,1398,-34.73
14655,2911,44271,187,-4.1,-1661755839,1366.5,-0.3
14656,2911,44272,187,3.96,1727739105,-1320.3,-0.3
14657,2911,44273,187,-3.24,-1263680780,1078.8,-0.3
14658,175,44274,5,8.89,1232817045,0,0
14659,175,44274,187,-1.14,297588278,381,-0.3
14660,168,44275,4,21.15,-1708977197,31,68.21918
14661,168,44275,5,14.02,-1063424782,1,1402
14662,168,44275,87,25.48,382269218,1,2548
14663,168,44275,187,-1.5,-312612078,499.5,-0.3
14664,72,44276,44,25.27,1010453235,0,0
14665,72,44276,187,-1.71,1159454292,571,-0.3
14666,2998,44277,44,15.12,-691216954,0,0
14667,203,44278,5,12.62,478985894,0,0
14668,203,44278,187,-12.58,-125042421,4192,-0.3
14669,117,44279,5,9.53,-817476903,0,0
14670,117,44279,187,-8.6,-513412973,2867,-0.3
14671,727,44280,4,21.15,-1384075680,31,68.21918
14672,727,44280,5,14.02,-245498592,1,1402
14673,727,44280,87,25.48,434431235,1,2548
14674,727,44280,184,12.16,1414643921,0,0
14675,727,44280,187,-23.25,-1888344455,7750.7,-0.3
14676,144,44281,44,25.27,707564597,0,0
14677,144,44281,187,-3.28,-2117111976,1092,-0.3
14678,144,44282,44,-25.27,700722439,0,0
14679,144,44282,187,3.28,675524083,-1092,-0.3
14680,144,44283,44,25.27,-1036315639,0,0
14681,144,44283,187,-1.4,84185959,465.3,-0.3
14682,136,44284,4,21.15,-820696684,31,68.21918
14683,136,44284,5,14.02,848222776,1,1402
14684,136,44284,87,25.48,1938514704,1,2548
14685,136,44284,184,10.31,220575964,0,0
14686,136,44284,187,-1.68,2112647847,560.3,-0.3
14687,68,44285,44,25.27,-1953235540,0,0
14688,68,44285,187,-3.51,1794291827,1170.2,-0.3
14689,68,44286,44,-25.27,-1097006024,0,0
14690,68,44286,187,3.51,36018693,-1170.2,-0.3
14691,68,44287,44,25.27,-87603067,0,0
14692,68,44287,187,-2.16,-1718600784,720.3,-0.3
14693,154,44288,44,25.27,-1440037075,0,0
14694,154,44288,187,-2.02,-1377411616,673,-0.3
14695,101,44289,4,11.46,1235131295,0,0
14696,101,44289,187,-7.02,-1924683274,2341,-0.3
14697,164,44290,5,-11.43,-530403651,0,0
14698,164,44290,187,135.19,-1182648410,-4089,-3.30618733186598
14699,164,44291,5,11.43,-1369663769,0,0
14700,164,44291,187,-129.1,1011816123,2059,-6.27003399708596
14701,164,44292,5,8.89,609882867,0,0
14702,164,44292,187,-4.3,1207244427,1434,-0.3
14703,772,44293,44,17.67,-67514220,0,0
14704,772,44293,187,-4.52,-1541423388,1506,-0.3
14705,225,44294,4,21.15,69937741,31,68.21918
14706,225,44294,5,14.02,-328467245,1,1402
14707,225,44294,87,25.48,1366457053,1,2548
14708,225,44294,184,10.05,-334452246,0,0
14709,225,44294,187,-1.63,1672136819,542.2,-0.3
