Id,Lookup_Id,Link_Id,Factor,Order_Num,Checksum,LinkType,DataMode
120,303,192,0,0,946262268,NULL,NULL
121,303,109,0,0,823123409,NULL,NULL
122,303,113,0,0,366109393,NULL,NULL
123,303,70,0,0,-1719924883,NULL,NULL
124,303,26,0,0,-1453729030,NULL,NULL
125,303,173,0,0,999496504,NULL,NULL
126,303,110,0,0,-2111080564,NULL,NULL
127,303,167,0,0,-1815725110,NULL,NULL
128,303,169,0,0,-1506876694,NULL,NULL
129,303,35,0,0,1479567855,NULL,NULL
130,303,107,0,0,806338497,NULL,NULL
131,303,23,0,0,-1591161954,NULL,NULL
132,303,112,0,0,-46291851,NULL,NULL
133,303,133,0,0,595231270,NULL,NULL
134,303,118,0,0,1676211127,NULL,NULL
135,303,60,0,0,-1071033972,NULL,NULL
136,303,34,0,0,-1463042481,NULL,NULL
137,303,97,0,0,-1259123405,NULL,NULL
138,303,124,0,0,-1051293019,NULL,NULL
139,303,193,0,0,895054819,NULL,NULL
140,303,22,0,0,-1132625273,NULL,NULL
141,303,49,0,0,-662957495,NULL,NULL
142,303,127,0,0,-107535354,NULL,NULL
143,303,142,0,0,899447308,NULL,NULL
144,303,2,0,0,372056398,NULL,NULL
145,303,136,0,0,-681027351,NULL,NULL
146,303,30,0,0,-1164544385,NULL,NULL
147,303,105,0,0,-1339484408,NULL,NULL
148,303,194,0,0,1463155913,NULL,NULL
149,303,204,0,0,875611060,NULL,NULL
150,303,162,0,0,-224119408,NULL,NULL
151,303,148,0,0,512854203,NULL,NULL
152,303,10,0,0,-1816186958,NULL,NULL
153,303,62,0,0,405419592,NULL,NULL
154,303,19,0,0,-1341250318,NULL,NULL
155,303,185,0,0,1970430849,NULL,NULL
156,303,215,0,0,-404229225,NULL,NULL
157,303,11,0,0,1079181594,NULL,NULL
158,303,179,0,0,-1486980346,NULL,NULL
159,303,94,0,0,-151740864,NULL,NULL
160,303,201,0,0,973769621,NULL,NULL
161,303,29,0,0,1528686498,NULL,NULL
162,303,197,0,0,-1177791805,NULL,NULL
163,303,158,0,0,-1245625481,NULL,NULL
164,303,149,0,0,-1690419304,NULL,NULL
165,303,84,0,0,-396998057,NULL,NULL
166,303,182,0,0,-1119961461,NULL,NULL
167,303,213,0,0,-1151550800,NULL,NULL
168,303,155,0,0,399544074,NULL,NULL
169,303,92,0,0,372734059,NULL,NULL
170,303,33,0,0,-1429035265,NULL,NULL
171,303,184,0,0,-400163371,NULL,NULL
172,303,170,0,0,515011890,NULL,NULL
173,303,164,0,0,-771281346,NULL,NULL
174,303,175,0,0,-50834735,NULL,NULL
175,303,207,0,0,-1635686496,NULL,NULL
176,303,129,0,0,-1781057647,NULL,NULL
177,303,14,0,0,-1706459538,NULL,NULL
178,303,73,0,0,152091150,NULL,NULL
179,303,102,0,0,-1511655634,NULL,NULL
180,303,203,0,0,-596310207,NULL,NULL
181,303,152,0,0,1073067642,NULL,NULL
182,303,151,0,0,-188972978,NULL,NULL
183,303,191,0,0,-2077302309,NULL,NULL
184,303,47,0,0,1073718649,NULL,NULL
185,303,198,0,0,-1252852781,NULL,NULL
186,303,190,0,0,1281971871,NULL,NULL
187,303,55,0,0,-1885387665,NULL,NULL
188,303,43,0,0,477660425,NULL,NULL
189,303,183,0,0,-654774830,NULL,NULL
190,303,5,0,0,-821360664,NULL,NULL
191,303,168,0,0,-602913050,NULL,NULL
192,303,216,0,0,-1664098025,NULL,NULL
193,303,196,0,0,-387794262,NULL,NULL
194,303,15,0,0,734589088,NULL,NULL
195,303,189,0,0,1251301815,NULL,NULL
196,303,75,0,0,272435276,NULL,NULL
197,303,126,0,0,1351182717,NULL,NULL
198,303,95,0,0,-2024055,NULL,NULL
199,303,176,0,0,-1570711441,NULL,NULL
200,303,202,0,0,617575961,NULL,NULL
201,303,157,0,0,-1985860485,NULL,NULL
202,303,165,0,0,519343177,NULL,NULL
203,303,146,0,0,176020630,NULL,NULL
204,303,145,0,0,-110841291,NULL,NULL
205,303,195,0,0,-1629571232,NULL,NULL
206,303,114,0,0,639291864,NULL,NULL
207,303,1,0,0,-2039325923,NULL,NULL
208,303,18,0,0,1489721592,NULL,NULL
209,303,13,0,0,1312527030,NULL,NULL
210,303,21,0,0,-216251608,NULL,NULL
211,303,125,0,0,-1422026411,NULL,NULL
212,303,209,0,0,1789247464,NULL,NULL
213,303,218,0,0,-1919273733,NULL,NULL
214,303,119,0,0,-330070532,NULL,NULL
215,303,20,0,0,552627584,NULL,NULL
216,303,174,0,0,-647792966,NULL,NULL
217,303,111,0,0,359147696,NULL,NULL
218,303,51,0,0,1772548761,NULL,NULL
219,304,239,0,0,1133783851,NULL,NULL
220,304,235,0,0,949646108,NULL,NULL
221,304,233,0,0,701053532,NULL,NULL
222,304,242,0,0,1301759140,NULL,NULL
223,304,237,0,0,-1766556050,NULL,NULL
224,304,244,0,0,7614093,NULL,NULL
225,304,238,0,0,602667443,NULL,NULL
226,304,241,0,0,-630304263,NULL,NULL
227,304,240,0,0,712621610,NULL,NULL
228,304,232,0,0,-1451334495,NULL,NULL
229,304,234,0,0,-1204998687,NULL,NULL
230,304,231,0,0,-67148377,NULL,NULL
231,304,236,0,0,-1882515551,NULL,NULL
232,304,243,0,0,-1518829056,NULL,NULL
889,325,252,0,0,-1090423398,NULL,NULL
234,305,265,0,0,-947987276,NULL,NULL
235,305,274,0,0,541153191,NULL,NULL
236,305,268,0,0,-2134936206,NULL,NULL
237,305,262,0,0,1121583577,NULL,NULL
238,305,264,0,0,-353825205,NULL,NULL
239,305,259,0,0,-256872141,NULL,NULL
240,305,246,0,0,1754266949,NULL,NULL
241,305,271,0,0,633545219,NULL,NULL
890,325,250,0,0,496474959,NULL,NULL
243,305,245,0,0,-1547252879,NULL,NULL
244,305,272,0,0,659219403,NULL,NULL
245,305,260,0,0,1876698386,NULL,NULL
891,325,251,0,0,-310348644,NULL,NULL
247,305,253,0,0,144534259,NULL,NULL
892,325,248,0,0,1727301206,NULL,NULL
249,305,249,0,0,-239015713,NULL,NULL
893,325,256,0,0,-44794524,NULL,NULL
251,305,266,0,0,1579621810,NULL,NULL
252,305,257,0,0,1725493322,NULL,NULL
253,305,263,0,0,-2076351802,NULL,NULL
894,325,247,0,0,-743767669,NULL,NULL
255,305,261,0,0,-2026642506,NULL,NULL
256,305,275,0,0,-1172957231,NULL,NULL
257,305,255,0,0,20318916,NULL,NULL
258,305,273,0,0,-2024420138,NULL,NULL
259,305,267,0,0,1273010138,NULL,NULL
260,305,254,0,0,1963528844,NULL,NULL
261,305,258,0,0,860879858,NULL,NULL
262,305,270,0,0,-467361986,NULL,NULL
263,305,269,0,0,-1631534433,NULL,NULL
264,306,277,0,0,-830551690,NULL,NULL
265,306,279,0,0,1123440260,NULL,NULL
266,306,280,0,0,36755662,NULL,NULL
267,306,276,0,0,-805729842,NULL,NULL
4262,349,1471,0,0,-1333833615,NULL,NULL
269,306,286,0,0,-1442588836,NULL,NULL
270,306,282,0,0,-1934187428,NULL,NULL
271,306,288,0,0,1322504439,NULL,NULL
272,306,284,0,0,-117074206,NULL,NULL
273,303,291,0,0,1471545281,NULL,NULL
274,307,292,0,0,-1568971498,NULL,NULL
275,307,293,0,0,1382845125,NULL,NULL
276,307,294,0,0,-674736216,NULL,NULL
277,307,295,0,0,668973179,NULL,NULL
278,307,296,0,0,-1536792586,NULL,NULL
279,307,297,0,0,1416726565,NULL,NULL
280,307,298,0,0,1812437509,NULL,NULL
281,307,299,0,0,-1676642858,NULL,NULL
282,307,300,0,0,788710459,NULL,NULL
283,307,301,0,0,-552260632,NULL,NULL
284,307,302,0,0,739001675,NULL,NULL
285,307,303,0,0,-602166632,NULL,NULL
286,308,72,0,0,-1902134679,NULL,NULL
318,309,117,0,0,484157367,NULL,NULL
288,308,120,0,0,1358939210,NULL,NULL
289,308,78,0,0,-647618012,NULL,NULL
290,308,79,0,0,-225438928,NULL,NULL
319,309,25,0,0,-1409553017,NULL,NULL
320,309,87,0,0,1227346354,NULL,NULL
293,308,74,0,0,692577991,NULL,NULL
321,309,27,0,0,-88707324,NULL,NULL
900,315,143,0,0,738503494,NULL,NULL
296,308,118,0,0,-1061944184,NULL,NULL
323,309,85,0,0,-294693788,NULL,NULL
324,309,153,0,0,193934896,NULL,NULL
299,308,119,0,0,-1983664759,NULL,NULL
300,303,220,0,0,1863670610,NULL,NULL
301,303,224,0,0,-1266129762,NULL,NULL
302,303,304,0,0,2132652999,NULL,NULL
303,303,225,0,0,545255603,NULL,NULL
304,303,305,0,0,-742752387,NULL,NULL
325,309,88,0,0,-2093763459,NULL,NULL
326,309,144,0,0,208886536,NULL,NULL
327,309,115,0,0,-1209187557,NULL,NULL
328,309,113,0,0,534662281,NULL,NULL
329,309,114,0,0,1810513551,NULL,NULL
330,309,26,0,0,774099425,NULL,NULL
331,309,22,0,0,1145858958,NULL,NULL
332,309,142,0,0,1032348584,NULL,NULL
333,309,152,0,0,-1076833283,NULL,NULL
334,309,151,0,0,1288289630,NULL,NULL
335,309,145,0,0,-2139298222,NULL,NULL
336,309,1,0,0,-2073523767,NULL,NULL
1211,303,396,0,0,-998983226,NULL,NULL
338,310,67,0,0,1527218272,NULL,NULL
339,310,36,0,0,1365974480,NULL,NULL
340,310,39,0,0,-1431990177,NULL,NULL
341,310,37,0,0,-1746957810,NULL,NULL
342,310,122,0,0,1767584505,NULL,NULL
343,310,77,0,0,-2105885854,NULL,NULL
344,310,101,0,0,560087375,NULL,NULL
345,310,100,0,0,-780816740,NULL,NULL
346,310,66,0,0,1186918666,NULL,NULL
347,310,38,0,0,810359963,NULL,NULL
348,310,103,0,0,-1554194822,NULL,NULL
349,310,99,0,0,-430464744,NULL,NULL
350,310,98,0,0,-845049844,NULL,NULL
351,310,76,0,0,996800221,NULL,NULL
352,310,104,0,0,1319148366,NULL,NULL
353,310,35,0,0,-2124051845,NULL,NULL
354,310,102,0,0,54784359,NULL,NULL
558,303,319,0,0,-602558890,NULL,NULL
1212,379,393,0,0,821602765,NULL,NULL
559,308,91,0,0,565211984,NULL,NULL
882,303,329,0,0,11712267,NULL,NULL
883,303,330,0,0,2052516522,NULL,NULL
884,324,334,0,0,348329945,NULL,NULL
