Id,Contract_Id,Type,Cost_Rate,Time_Start,Time_Finish,Meter,Description,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,January,February,March,April,May,June,July,August,September,October,November,December,Checksum,Valid_From
5180,3865,NULL,44.7878,00:00,24:00,2,Evening Weekend,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NULL,2022-09-01 00:00:00.000
5181,3866,NULL,73.876,07:00,24:00,1,Day,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NULL,2022-09-01 00:00:00.000
5182,3866,NULL,51.1031,00:00,07:00,2,Night,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NULL,2022-09-01 00:00:00.000
5183,3867,NULL,73.8744,07:00,24:00,1,Day,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NULL,2022-09-01 00:00:00.000
5184,3867,NULL,51.1008,00:00,07:00,2,Night,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NULL,2022-09-01 00:00:00.000
5185,3868,NULL,76.8672,07:00,24:00,1,Day,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NULL,2022-09-01 00:00:00.000
5186,3868,NULL,51.5041,00:00,07:00,2,Night,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NULL,2022-09-01 00:00:00.000
5187,3869,NULL,76.8687,07:00,24:00,1,Day,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NULL,2022-09-01 00:00:00.000
5188,3869,NULL,51.5059,00:00,07:00,2,Night,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NULL,2022-09-01 00:00:00.000
5189,3870,NULL,77.1336,07:00,24:00,1,Day,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NULL,2022-09-01 00:00:00.000
5190,3870,NULL,51.6794,00:00,07:00,2,Night,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NULL,2022-09-01 00:00:00.000
5251,3911,NULL,35.0959,07:00,24:00,1,Day,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NULL,2023-02-07 00:00:00.000
5252,3911,NULL,29.9208,00:00,07:00,2,Night,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NULL,2023-02-07 00:00:00.000
5263,3919,NULL,29.15,00:00,24:00,1,Day,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NULL,2023-03-10 00:00:00.000
5275,3927,NULL,33.2056,00:00,24:00,1,Day,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NULL,2023-03-13 00:00:00.000
5299,3946,NULL,29.0291,07:00,24:00,1,Day,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NULL,2023-07-01 00:00:00.000
5312,3954,NULL,22.9065,00:00,07:00,2,Night,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NULL,2023-06-01 00:00:00.000
5313,3955,NULL,7.427,00:00,24:00,1,Day,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NULL,2023-06-01 00:00:00.000
5314,3956,NULL,32.7829,07:00,24:00,1,Day,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NULL,2023-06-01 00:00:00.000
5315,3956,NULL,23.3076,00:00,07:00,2,Night,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NULL,2023-06-01 00:00:00.000
5316,3957,NULL,27.4077,07:00,24:00,1,Day,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NULL,2023-07-01 00:00:00.000
5317,3957,NULL,19.05,00:00,07:00,2,Night,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NULL,2023-08-01 00:00:00.000
5318,3958,NULL,6.043,00:00,24:00,1,Day,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NULL,2023-07-01 00:00:00.000
5319,3959,NULL,5.966,00:00,24:00,1,Day,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NULL,2023-07-01 00:00:00.000
5320,3960,NULL,5.966,00:00,24:00,1,Day,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NULL,2023-07-01 00:00:00.000
5321,3961,NULL,5.966,00:00,24:00,1,Day,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NULL,2023-07-01 00:00:00.000
5326,3964,NULL,28.1,07:00,24:00,1,Day,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NULL,2023-07-03 00:00:00.000
5327,3964,NULL,23.9931,00:00,07:00,2,Night,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NULL,2023-07-03 00:00:00.000
5332,3967,NULL,6.849,00:00,24:00,1,Day,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NULL,2022-12-01 00:00:00.000
5333,3968,NULL,28.457,07:00,24:00,1,Day,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NULL,2023-01-01 00:00:00.000
5334,3968,NULL,20.9544,00:00,07:00,2,Night,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NULL,2023-02-01 00:00:00.000
5335,3969,NULL,26.8113,07:00,24:00,1,Day,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NULL,2023-08-08 00:00:00.000
5336,3969,NULL,21.0609,00:00,07:00,2,Night,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NULL,2023-08-08 00:00:00.000
5337,3970,NULL,7.306,00:00,24:00,1,Day,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NULL,2023-08-28 00:00:00.000
5338,3971,NULL,7.359,00:00,24:00,1,Day,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NULL,2023-11-01 00:00:00.000
5339,3972,NULL,28.005,07.00,24:00,1,Day,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NULL,2023-08-01 00:00:00.000
2499,1385,NULL,15.472,07:00,24:00,1,Day,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NULL,2020-12-01 00:00:00.000
2500,1385,NULL,10.6332,00:00,07:00,2,Night,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NULL,2020-12-01 00:00:00.000
2501,1386,NULL,2.38,00:00,24:00,1,Day,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NULL,2020-11-01 00:00:00.000
2509,1390,NULL,2.222,00:00,24:00,1,Day,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NULL,2020-10-01 00:00:00.000
2510,1391,NULL,2.222,00:00,24:00,1,Day,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NULL,2020-10-01 00:00:00.000
2511,1392,NULL,2.222,00:00,24:00,1,Day,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NULL,2020-10-01 00:00:00.000
2512,1393,NULL,2.222,00:00,24:00,1,Day,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NULL,2020-10-01 00:00:00.000
5210,3884,NULL,75.9603,07:00,24:00,1,Day,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NULL,2022-10-21 00:00:00.000
5211,3884,NULL,43.2988,00:00,07:00,2,Night,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NULL,2022-10-21 00:00:00.000
5215,3888,NULL,58.831,07:00,24:00,1,Day,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NULL,2022-10-01 00:00:00.000
