Id,Contacts_Id,Type,Number,Code,Other_Number,Location,Supplier,Tariff,Units,Bill_Frequency,Comments,Group_1,Group_2,Last_Update,Last_User,Target_01,Target_02,Target_03,Target_04,Target_05,Target_06,Target_07,Target_08,Target_09,Target_10,Target_11,Target_12,TargetCost_01,TargetCost_02,TargetCost_03,TargetCost_04,TargetCost_05,TargetCost_06,TargetCost_07,TargetCost_08,TargetCost_09,TargetCost_10,TargetCost_11,TargetCost_12,BestfitAdjustmentGradient,BestfitAdjustmentIntercept,BestfitAdjustmentCorrelation,BestfitAdjustmentUpdate,BestfitTargetGradient,BestfitTargetIntercept,BestfitTargetCorrelation,BestfitTargetUpdate,BestfitCusumGradient,BestfitCusumIntercept,BestfitCusumCorrelation,BestfitCusumUpdate,DisableAdjustment,Closed,Format,Import_Link_Code,Import_Link_Code_Direct,Import_Link_Code_Profile,DataAdjustment,Profile_Scale_Factor,SubMeter,Profile_Meter,Profile_Meter_Max,Flag_Invoice,Flag_Direct,Flag_Profile,Code2,MeterSize,Updates,kWh_Factor,M1_Code1,M2_Code1,M3_Code1,M4_Code1,M5_Code1,M6_Code1,M7_Code1,M8_Code1,M1_Code2,M2_Code2,M3_Code2,M4_Code2,M5_Code2,M6_Code2,M7_Code2,M8_Code2,M1_Code3,M2_Code3,M3_Code3,M4_Code3,M5_Code3,M6_Code3,M7_Code3,M8_Code3,Host_Supplier,Voltage,VAT_Rate,Direct_Meter_View,Custom,kVA,SOQ_Peak,SOQ_Minimum,Profile_Frequency,Annual_Quantity,Number_Data_Loggers,Interruptible,Point_Id_Account,PowerFactor,Dial_Data,Meter_Type,Meter_Type_Capacity,SOQ_Alternative,Aggregate_Meter,Profile_Cost_Rate,Class_Type,TariffCCLRate,Note,Number_1,Virt_Invoice,Virt_Direct,Virt_Profile,Exclude_From_Reports,Exclude_From_Reports_Direct,Exclude_From_Reports_Profile,Meter_Operator,Closed_Date,Supply_Hourly_Quantity,Gas_Meter_Size,Web_Upload,Link_1,Link_2,Link_3,Sewerage_Supplier,Profile_kWh_Factor,Profile_Calorific_Value,Profile_Correction_Factor,Checksum,FailValidation,Disable_Web_Readings,NI_Boiler_Type,User_Number_1,User_Number_2,User_Number_3,User_Text_1,User_Text_2,User_Text_3,User_Text_4,User_Text_5,User_Date_1,User_Date_2,User_Date_3,Meter_Digits,Maximum_Alarm_Value,Web_Consumptions,Waste_Type,Waste_Disposal_Route,Waste_Bins,Waste_Hazardous,Invoice_Validation_Profile_Id,TimeSeriesEnabled,Profile_Threshold_1,Profile_Threshold_2,Water_Supplier,Meter_Asset_Manager,EAC,Nominated_SOQ,User_Date_4,Landlord_Billed,Return_To_Sewer,User_Text_6,User_Text_7,User_Text_8,User_Text_9,User_Text_10,Water_Wholesale_Tariff,Sewerage_Wholesale_Tariff,Surface_Water,Highway_Drainage,Meter_Size_2,Rota_Disconnection_Alpha_Identifier,MHHS_Applied,M1_Code4,M2_Code4,M3_Code4,M4_Code4,M5_Code4,M6_Code4,M7_Code4,M8_Code4
482,350,Gas,NULL,NULL,NULL,NULL,Yu Energy,NULL,kWh,1,NULL,0,0,2022-06-14 10:27:44.000,becky.jardine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,0,0,0,NULL,0,0,0,NULL,0,0,0,NULL,0,1,Invoice,50260001,50260001,50260001,0,1,0,0,0,1,1,1,,0,,0,50260001,,,,,,,,M040A0054714D6,,,,,,,,,,,,,,,,,NULL,20,0,0,0,0,0,30min,0,0,0,0,0,0,,0,0,0,0,NULL,0,,0,0,0,0,0,0,0,NULL,2018-03-31 00:00:00.000,0,NULL,0,K:\Clients\Kier Group\Percy House\Yu Energy Contracts Kier Facilities Services Limited HH Fully Fixed Contract test V1.2.pdf,NULL,NULL,NULL,1,0,0,-1033159880,0,0,0,0,0,0,,,,,,NULL,NULL,NULL,NULL,0,0,,,0,0,2,0,NULL,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
483,335,Electricity,1852426604,NULL,NULL,Closed,EDF,NULL,kWh,3,NULL,0,0,2022-08-23 09:59:24.000,becky.jardine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,0,0,0,NULL,0,0,0,NULL,0,0,0,NULL,0,1,,2000002424690,2000002424690,2000002424690,0,0,0,0,0,1,1,1,,0,"31/07/2019 Supplier : Yu Energy
22/08/2018 Meter Serial 1 : S82C86270  
22/08/2018 Supplier : SSE",0,2000002424690,,,,,,,,S82C86270,,,,,,,,03-801-127,,,,,,,,,NULL,0,0,0,0,0,0,30min,0,0,0,0,0,0,,0,0,0,0,NULL,0,,0,0,0,0,0,0,0,NULL,2021-03-30 00:00:00.000,0,NULL,0,NULL,NULL,NULL,NULL,1,0,0,941942759,0,0,0,0,0,0,,,,,,NULL,NULL,NULL,NULL,0,0,,,0,0,1,0,NULL,NULL,NULL,NULL,43491,0,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,801,NULL,NULL,NULL,NULL,NULL,NULL,NULL
484,335,Gas,NULL,NULL,NULL,Closed,Contract Natural Gas Ltd,NULL,kWh,1,NULL,0,0,2022-08-23 09:59:38.000,becky.jardine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,0,0,0,NULL,0,0,0,NULL,0,0,0,NULL,0,1,,3364840810,3364840810,3364840810,0,0,0,0,0,1,1,1,,0,"31/07/2019 Supplier : Yu Energy
24/08/2018 Supplier : Contract Natural Gas Ltd",0,3364840810,,,,,,,,00834723,,,,,,,,,,,,,,,,,NULL,0,0,0,0,0,0,30min,95,0,0,0,0,0,,0,0,0,0,NULL,0,,0,0,0,0,0,0,0,NULL,2021-03-31 00:00:00.000,0,NULL,0,NULL,NULL,NULL,NULL,1,0,0,-1521133697,0,0,0,0,0,0,,,,,,NULL,NULL,NULL,NULL,0,0,,,0,0,2,0,NULL,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
485,7,Water,3000455485,NULL,NULL,No meter,NULL,NULL,Cubic Metres,1,NULL,0,0,2017-05-09 14:10:03.133,paul.mallett,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,0,0,0,NULL,0,0,0,NULL,0,0,0,NULL,0,0,Invoice,NULL,NULL,NULL,0,1,0,0,0,1,1,1,,0,,1,,,,,,,,,,,,,,,,,3000455485S15,,,,,,,,,NULL,NULL,0,0,0,0,0,30min,0,0,0,0,0,0,,0,0,0,0,NULL,0,,0,0,0,0,0,0,0,NULL,NULL,0,NULL,0,NULL,NULL,NULL,NULL,1,0,0,1531238955,0,0,0,0,0,0,,,,,,NULL,NULL,NULL,NULL,0,0,,,0,0,3,0,NULL,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
486,305,Water,3024971467,NULL,NULL,NULL,NULL,NULL,Cubic Metres,1,NULL,0,0,2017-05-09 14:21:24.250,paul.mallett,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,0,0,0,NULL,0,0,0,NULL,0,0,0,NULL,0,0,Invoice,NULL,NULL,NULL,0,1,0,0,0,1,1,1,,0,,1,3024971467W10,,,,,,,,04M163830,,,,,,,,3024971467S18,,,,,,,,,NULL,NULL,0,0,0,0,0,30min,0,0,0,0,0,0,,0,0,0,0,NULL,0,,0,0,0,0,0,0,0,NULL,NULL,0,NULL,0,NULL,NULL,NULL,NULL,1,0,0,-1438086017,0,0,0,0,0,0,,,,,,NULL,NULL,NULL,4,0,0,,,0,0,3,0,NULL,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
487,134,Water,302256628X,NULL,NULL,NULL,NULL,NULL,Cubic Metres,1,NULL,0,0,2017-05-09 14:26:47.717,paul.mallett,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,0,0,0,NULL,0,0,0,NULL,0,0,0,NULL,0,0,Invoice,NULL,NULL,NULL,0,1,0,0,0,1,1,1,,0,,1,302256628XW1X,,,,,,,,06LU805646,,,,,,,,302256628XS17,,,,,,,,,NULL,NULL,0,0,0,0,0,30min,0,0,0,0,0,0,,0,0,0,0,NULL,0,,0,0,0,0,0,0,0,NULL,NULL,0,NULL,0,NULL,NULL,NULL,Northumbrian,1,0,0,124722027,0,0,0,0,0,0,,,,,,NULL,NULL,NULL,4,0,0,,,0,0,3,0,NULL,NULL,Northumbrian,NULL,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
508,8,Water,3008139841,NULL,NULL,NULL,NULL,NULL,Cubic Metres,1,NULL,0,0,2017-05-09 16:38:17.387,paul.mallett,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,0,0,0,NULL,0,0,0,NULL,0,0,0,NULL,0,0,Invoice,NULL,NULL,NULL,0,1,0,0,0,1,1,1,,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,NULL,NULL,0,0,0,0,0,30min,0,0,0,0,0,0,,0,0,0,0,NULL,0,,0,0,0,0,0,0,0,NULL,NULL,0,NULL,0,NULL,NULL,NULL,NULL,1,0,0,-2127470657,0,0,0,0,0,0,,,,,,NULL,NULL,NULL,NULL,0,0,,,0,0,3,0,NULL,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
509,319,Water,3017290204,NULL,NULL,NULL,NULL,NULL,Cubic Metres,1,NULL,0,0,2017-05-09 16:43:01.987,paul.mallett,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,0,0,0,NULL,0,0,0,NULL,0,0,0,NULL,0,0,Invoice,NULL,NULL,NULL,0,1,0,0,0,1,1,1,,0,,1,3017290204W11,,,,,,,,12MU055396,,,,,,,,3017290204S19,,,,,,,,,NULL,NULL,0,0,0,0,0,30min,0,0,0,0,0,0,,0,0,0,0,NULL,0,,0,0,0,0,0,0,0,NULL,NULL,0,NULL,0,NULL,NULL,NULL,Severn Trent,1,0,0,-1019392666,0,0,0,0,0,0,,,,,,NULL,NULL,NULL,6,0,0,,,0,0,3,0,NULL,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
510,3,Water,3007014743,NULL,NULL,NULL,NULL,NULL,Cubic Metres,1,NULL,0,0,2017-05-09 16:44:55.713,paul.mallett,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,0,0,0,NULL,0,0,0,NULL,0,0,0,NULL,0,0,Invoice,NULL,NULL,NULL,0,1,0,0,0,1,1,1,,0,,1,3007014743W15,,,,,,,,00116707,,,,,,,,3007014743S12,,,,,,,,,NULL,NULL,0,0,0,0,0,30min,0,0,0,0,0,0,,0,0,0,0,NULL,0,,0,0,0,0,0,0,0,NULL,NULL,0,NULL,0,NULL,NULL,NULL,Severn Trent,1,0,0,2119856880,0,0,0,0,0,0,,,,,,NULL,NULL,NULL,4,0,0,,,0,0,3,0,NULL,NULL,Severn Trent,NULL,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
511,214,Water,3017410668,NULL,NULL,NULL,NULL,NULL,Cubic Metres,1,NULL,0,0,2017-05-09 16:51:21.043,paul.mallett,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,0,0,0,NULL,0,0,0,NULL,0,0,0,NULL,0,0,Invoice,NULL,NULL,NULL,0,1,0,0,0,1,1,1,,0,,1,3017410668W17,,,,,,,,003135863,,,,,,,,3017410668S14,,,,,,,,,NULL,NULL,0,0,0,0,0,30min,0,0,0,0,0,0,,0,0,0,0,NULL,0,,0,0,0,0,0,0,0,NULL,NULL,0,NULL,0,NULL,NULL,NULL,Severn Trent,1,0,0,407956594,0,0,0,0,0,0,,,,,,NULL,NULL,NULL,6,0,0,,,0,0,3,0,NULL,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
